p,d,q,P,D,Q,s,order,seasonal_order,aic,bic,hqic,llf,nobs,converged,error,fit_seconds
5,0,0,0,0,0,0,"(5, 0, 0)","(0, 0, 0, 0)",33051.42073805928,33093.34528792099,33066.51404438983,-16518.71036902964,2954,True,,1.24
3,1,4,0,0,0,0,"(3, 1, 4)","(0, 0, 0, 0)",33051.45635836353,33099.36741639001,33068.705172072165,-16517.728179181766,2954,False,,8.83
1,0,4,0,0,0,0,"(1, 0, 4)","(0, 0, 0, 0)",33053.150849324484,33095.07539918619,33068.24415565503,-16519.575424662242,2954,True,,2.01
2,0,5,0,0,0,0,"(2, 0, 5)","(0, 0, 0, 0)",33053.17416859185,33107.07410887164,33072.57908401406,-16517.587084295927,2954,True,,5.37
5,0,1,0,0,0,0,"(5, 0, 1)","(0, 0, 0, 0)",33053.424617186305,33101.338388456825,33070.6741101355,-16518.712308593153,2954,True,,1.91
2,0,4,0,0,0,0,"(2, 0, 4)","(0, 0, 0, 0)",33054.85440353936,33102.76817480988,33072.10389648855,-16519.42720176968,2954,True,,4.33
6,1,5,0,0,0,0,"(6, 1, 5)","(0, 0, 0, 0)",33055.07501738598,33126.93753317883,33080.947218699126,-16515.53750869299,2954,False,,15.57
1,1,4,0,0,0,0,"(1, 1, 4)","(0, 0, 0, 0)",33055.37165398657,33091.304947506425,33068.308264268046,-16521.685826993285,2954,True,,3.73
3,0,4,0,0,0,0,"(3, 0, 4)","(0, 0, 0, 0)",33055.66940415342,33109.57239683276,33075.07508372127,-16518.83470207671,2954,True,,3.64
1,1,3,0,0,0,0,"(1, 1, 3)","(0, 0, 0, 0)",33056.55515269614,33086.50125974022,33067.33608578939,-16523.27757634807,2954,True,,3.36
6,0,4,0,0,0,0,"(6, 0, 4)","(0, 0, 0, 0)",33057.57690173792,33129.44348877763,33083.45012230086,-16516.78845086896,2954,False,,12.2
2,1,3,0,0,0,0,"(2, 1, 3)","(0, 0, 0, 0)",33058.315815832764,33094.251144285656,33071.25293554466,-16523.157907916382,2954,False,,7.83
5,1,5,0,0,0,0,"(5, 1, 5)","(0, 0, 0, 0)",33058.61621031065,33124.49018312076,33082.3323948477,-16518.308105155324,2954,False,,9.57
4,1,2,0,0,0,0,"(4, 1, 2)","(0, 0, 0, 0)",33059.425958871856,33101.350508733565,33074.519265202405,-16522.712979435928,2954,True,,9.66
4,0,0,0,0,0,0,"(4, 0, 0)","(0, 0, 0, 0)",33060.02138958438,33095.95875228038,33072.95901853237,-16524.01069479219,2954,True,,1.01
4,0,2,0,0,0,0,"(4, 0, 2)","(0, 0, 0, 0)",33060.14247629691,33108.05895989158,33077.392648227564,-16522.071238148455,2954,False,,6.34
3,1,3,0,0,0,0,"(3, 1, 3)","(0, 0, 0, 0)",33060.230447746064,33102.15499760777,33075.32375407661,-16523.115223873032,2954,False,,10.48
0,1,5,0,0,0,0,"(0, 1, 5)","(0, 0, 0, 0)",33061.26323423724,33097.19449213366,33074.19933489381,-16524.63161711862,2954,False,,6.82
1,0,3,0,0,0,0,"(1, 0, 3)","(0, 0, 0, 0)",33061.301087192915,33097.238449888915,33074.238716140906,-16524.650543596457,2954,True,,1.45
4,0,1,0,0,0,0,"(4, 0, 1)","(0, 0, 0, 0)",33062.01244340564,33103.93936655098,33077.106343844964,-16524.00622170282,2954,True,,1.48
4,0,3,0,0,0,0,"(4, 0, 3)","(0, 0, 0, 0)",33062.28600944017,33116.19205348418,33081.69245286215,-16522.143004720085,2954,True,,5.5
2,0,3,0,0,0,0,"(2, 0, 3)","(0, 0, 0, 0)",33063.051111874986,33104.97803502032,33078.14501231431,-16524.525555937493,2954,True,,1.81
4,1,5,0,0,0,0,"(4, 1, 5)","(0, 0, 0, 0)",33064.32571100744,33124.21114083482,33085.8858787684,-16522.16285550372,2954,True,,7.29
3,0,3,0,0,0,0,"(3, 0, 3)","(0, 0, 0, 0)",33065.04486538192,33112.96134897659,33082.29503731257,-16524.52243269096,2954,True,,1.98
6,1,3,0,0,0,0,"(6, 1, 3)","(0, 0, 0, 0)",33065.65422747417,33125.53965730155,33087.21439523513,-16522.827113737087,2954,False,,11.08
5,1,4,0,0,0,0,"(5, 1, 4)","(0, 0, 0, 0)",33066.38584840385,33126.274670936946,33087.946865539634,-16523.192924201925,2954,False,,9.54
1,0,2,0,0,0,0,"(1, 0, 2)","(0, 0, 0, 0)",33069.8283415606,33099.777838435315,33080.610123218845,-16529.9141707803,2954,True,,5.34
2,0,2,0,0,0,0,"(2, 0, 2)","(0, 0, 0, 0)",33072.37085582509,33108.31025207474,33085.30899381498,-16530.185427912544,2954,True,,1.65
3,1,1,0,0,0,0,"(3, 1, 1)","(0, 0, 0, 0)",33073.39182241328,33103.33962465995,33084.17317986994,-16531.69591120664,2954,True,,6.72
3,0,2,0,0,0,0,"(3, 0, 2)","(0, 0, 0, 0)",33073.63247114866,33115.56176677326,33088.7269654702,-16529.81623557433,2954,True,,1.71
2,1,2,0,0,0,0,"(2, 1, 2)","(0, 0, 0, 0)",33075.02970955144,33104.97751179811,33085.8110670081,-16532.51485477572,2954,True,,4.18
3,0,0,0,0,0,0,"(3, 0, 0)","(0, 0, 0, 0)",33076.38437331338,33106.3338701881,33087.16615497163,-16533.19218665669,2954,True,,0.82
3,2,3,0,0,0,0,"(3, 2, 3)","(0, 0, 0, 0)",33078.025898741675,33119.94807451484,33093.118610736725,-16532.012949370837,2954,False,,10.84
3,1,2,0,0,0,0,"(3, 1, 2)","(0, 0, 0, 0)",33078.07854221143,33114.01590490743,33091.01617115942,-16533.039271105714,2954,True,,5.49
3,0,1,0,0,0,0,"(3, 0, 1)","(0, 0, 0, 0)",33078.23752328343,33114.176919533085,33091.17566127332,-16533.118761641716,2954,True,,0.92
0,0,4,0,0,0,0,"(0, 0, 4)","(0, 0, 0, 0)",33083.139485677595,33119.07481413049,33096.07660538949,-16535.569742838798,2954,True,,2.95
2,1,1,0,0,0,0,"(2, 1, 1)","(0, 0, 0, 0)",33087.90500958255,33111.86460708232,33096.530434909146,-16539.952504791276,2954,True,,2.13
2,0,0,0,0,0,0,"(2, 0, 0)","(0, 0, 0, 0)",33089.86990019241,33113.830852935294,33098.49566475091,-16540.934950096205,2954,True,,0.52
2,0,1,0,0,0,0,"(2, 0, 1)","(0, 0, 0, 0)",33090.021694488714,33119.972885417315,33100.80390018683,-16540.010847244357,2954,True,,0.63
3,2,6,0,0,0,0,"(3, 2, 6)","(0, 0, 0, 0)",33097.205057501815,33157.08369846267,33118.7635255398,-16538.602528750907,2954,False,,22.76
5,2,2,0,0,0,0,"(5, 2, 2)","(0, 0, 0, 0)",33099.308490991636,33147.216834853534,33116.5566252004,-16541.654245495818,2954,False,,8.87
6,2,2,0,0,0,0,"(6, 2, 2)","(0, 0, 0, 0)",33101.193004202796,33155.086836575996,33120.596390458384,-16541.596502101398,2954,False,,11.0
6,2,3,0,0,0,0,"(6, 2, 3)","(0, 0, 0, 0)",33113.58295419491,33173.464990165136,33135.14227225668,-16546.791477097457,2954,False,,10.09
0,1,4,0,0,0,0,"(0, 1, 4)","(0, 0, 0, 0)",33114.1472257743,33144.091637040845,33124.92773434219,-16552.07361288715,2954,True,,7.32
1,0,1,0,0,0,0,"(1, 0, 1)","(0, 0, 0, 0)",33114.99745962013,33138.95841236301,33123.62322417863,-16553.498729810064,2954,True,,3.62
1,1,2,0,0,0,0,"(1, 1, 2)","(0, 0, 0, 0)",33116.81918588247,33140.77742767981,33125.4442718478,-16554.409592941236,2954,True,,2.02
4,2,2,0,0,0,0,"(4, 2, 2)","(0, 0, 0, 0)",33118.67497036778,33160.59714614094,33133.76768236283,-16552.33748518389,2954,False,,11.42
4,2,3,0,0,0,0,"(4, 2, 3)","(0, 0, 0, 0)",33122.53215181149,33170.44320983796,33139.78096552012,-16553.266075905743,2954,False,,11.98
1,2,4,0,0,0,0,"(1, 2, 4)","(0, 0, 0, 0)",33124.249459497936,33160.18071739436,33137.18556015451,-16556.124729748968,2954,True,,16.24
4,2,4,0,0,0,0,"(4, 2, 4)","(0, 0, 0, 0)",33131.140752489446,33185.037639334085,33150.54490347431,-16556.570376244723,2954,False,,16.42
0,0,3,0,0,0,0,"(0, 0, 3)","(0, 0, 0, 0)",33132.78357305131,33162.73137529798,33143.56493050797,-16561.391786525655,2954,True,,2.48
2,2,5,0,0,0,0,"(2, 2, 5)","(0, 0, 0, 0)",33145.204433669336,33193.110062445514,33162.45188811875,-16564.602216834668,2954,True,,10.05
2,2,3,0,0,0,0,"(2, 2, 3)","(0, 0, 0, 0)",33155.511618297016,33191.44491181687,33168.44822857849,-16571.755809148508,2954,False,,8.81
2,2,4,0,0,0,0,"(2, 2, 4)","(0, 0, 0, 0)",33155.71898497788,33197.638785857045,33170.81110241055,-16570.85949248894,2954,False,,14.49
0,2,6,0,0,0,0,"(0, 2, 6)","(0, 0, 0, 0)",33159.296062681766,33201.211111354365,33174.386990308354,-16572.648031340883,2954,True,,9.03
1,2,6,0,0,0,0,"(1, 2, 6)","(0, 0, 0, 0)",33159.94592848084,33207.84884124953,33177.19270291123,-16571.97296424042,2954,True,,11.68
0,2,5,0,0,0,0,"(0, 2, 5)","(0, 0, 0, 0)",33178.987207542115,33214.91642912425,33191.92279837918,-16583.493603771058,2954,True,,9.13
5,2,3,0,0,0,0,"(5, 2, 3)","(0, 0, 0, 0)",33180.32740507284,33234.22429191748,33199.731556057704,-16581.16370253642,2954,False,,11.95
3,2,4,0,0,0,0,"(3, 2, 4)","(0, 0, 0, 0)",33192.95657185637,33240.864915718266,33210.20470606513,-16588.478285928184,2954,False,,8.79
3,2,5,0,0,0,0,"(3, 2, 5)","(0, 0, 0, 0)",33198.57801737274,33252.47184974594,33217.98140362833,-16590.28900868637,2954,False,,17.74
2,2,2,0,0,0,0,"(2, 2, 2)","(0, 0, 0, 0)",33202.89217486442,33232.838281908495,33213.67310795767,-16596.44608743221,2954,True,,6.37
5,2,4,0,0,0,0,"(5, 2, 4)","(0, 0, 0, 0)",33210.29311087451,33270.17854070189,33231.85327863547,-16595.146555437255,2954,False,,17.04
1,1,1,0,0,0,0,"(1, 1, 1)","(0, 0, 0, 0)",33215.02259365162,33232.99229177645,33221.49166264657,-16604.51129682581,2954,True,,0.99
1,0,0,0,0,0,0,"(1, 0, 0)","(0, 0, 0, 0)",33219.70877583846,33237.68050648369,33226.1783535843,-16606.85438791923,2954,True,,0.47
2,2,6,0,0,0,0,"(2, 2, 6)","(0, 0, 0, 0)",33260.265848374525,33314.156625239295,33279.66846960871,-16621.132924187263,2954,True,,15.8
1,2,5,0,0,0,0,"(1, 2, 5)","(0, 0, 0, 0)",33263.98238498946,33305.899810168616,33279.0739076327,-16624.99119249473,2954,True,,13.34
0,1,3,0,0,0,0,"(0, 1, 3)","(0, 0, 0, 0)",33267.59187544459,33291.54876107985,33276.216621919186,-16629.795937722294,2954,True,,1.75
0,0,2,0,0,0,0,"(0, 0, 2)","(0, 0, 0, 0)",33281.72069069732,33305.680288197094,33290.34611602392,-16636.86034534866,2954,True,,1.24
6,2,1,0,0,0,0,"(6, 2, 1)","(0, 0, 0, 0)",33305.79812678057,33353.70375555675,33323.045581229984,-16644.899063390287,2954,True,,6.52
6,1,0,0,0,0,0,"(6, 1, 0)","(0, 0, 0, 0)",33306.55027547026,33348.470076349426,33321.64239290293,-16646.27513773513,2954,True,,0.22
0,2,4,0,0,0,0,"(0, 2, 4)","(0, 0, 0, 0)",33312.2735653484,33342.21628026209,33323.053649228874,-16651.1367826742,2954,True,,7.75
6,2,4,0,0,0,0,"(6, 2, 4)","(0, 0, 0, 0)",33321.74635315391,33387.61659272116,33345.46160302185,-16649.873176576955,2954,False,,18.38
1,2,2,0,0,0,0,"(1, 2, 2)","(0, 0, 0, 0)",33324.40027934004,33348.35716497531,33333.02502581464,-16658.20013967002,2954,True,,5.84
5,2,1,0,0,0,0,"(5, 2, 1)","(0, 0, 0, 0)",33334.084761354825,33376.00456223399,33349.1768787875,-16660.042380677412,2954,True,,4.85
5,1,0,0,0,0,0,"(5, 1, 0)","(0, 0, 0, 0)",33338.74763800402,33374.68093152387,33351.68424828549,-16663.37381900201,2954,True,,0.15
5,2,6,0,0,0,0,"(5, 2, 6)","(0, 0, 0, 0)",33343.01798721013,33414.87235636316,33368.88814885571,-16659.508993605064,2954,False,,15.24
4,2,1,0,0,0,0,"(4, 2, 1)","(0, 0, 0, 0)",33370.29543428615,33406.228727806,33383.23204456762,-16679.147717143074,2954,True,,4.23
4,1,0,0,0,0,0,"(4, 1, 0)","(0, 0, 0, 0)",33373.3162036333,33403.262310677375,33384.09713672655,-16681.65810181665,2954,True,,0.1
4,2,6,0,0,0,0,"(4, 2, 6)","(0, 0, 0, 0)",33377.718611358316,33443.585116415255,33401.4329262001,-16677.859305679158,2954,False,,16.91
0,2,3,0,0,0,0,"(0, 2, 3)","(0, 0, 0, 0)",33384.852122261604,33408.80765127484,33393.47652911592,-16688.426061130802,2954,True,,3.07
1,2,3,0,0,0,0,"(1, 2, 3)","(0, 0, 0, 0)",33388.09875993296,33418.043171199504,33398.87926850085,-16689.04937996648,2954,True,,2.75
4,2,5,0,0,0,0,"(4, 2, 5)","(0, 0, 0, 0)",33397.993321540845,33457.87535751107,33419.55263960261,-16688.996660770423,2954,False,,13.09
0,1,2,0,0,0,0,"(0, 1, 2)","(0, 0, 0, 0)",33399.83479299244,33417.80347434044,33406.303607466434,-16696.91739649622,2954,True,,0.31
0,2,2,0,0,0,0,"(0, 2, 2)","(0, 0, 0, 0)",33400.28718314854,33418.254847374985,33406.75574300449,-16697.14359157427,2954,True,,2.12
6,2,6,0,0,0,0,"(6, 2, 6)","(0, 0, 0, 0)",33409.87114863054,33487.71338187966,33437.89715707992,-16691.93557431527,2954,False,,13.14
6,2,5,0,0,0,0,"(6, 2, 5)","(0, 0, 0, 0)",33410.357444887515,33482.21588805179,33436.228626561635,-16693.178722443758,2954,False,,10.62
0,1,1,0,0,0,0,"(0, 1, 1)","(0, 0, 0, 0)",33411.61430769051,33423.59410644039,33415.9270203538,-16703.807153845253,2954,True,,0.56
3,2,1,0,0,0,0,"(3, 2, 1)","(0, 0, 0, 0)",33416.07555926838,33446.02166631245,33426.85649236163,-16703.03777963419,2954,True,,4.17
5,2,5,0,0,0,0,"(5, 2, 5)","(0, 0, 0, 0)",33416.65242385816,33482.522663425414,33440.367673726105,-16697.32621192908,2954,False,,13.67
3,1,0,0,0,0,0,"(3, 1, 0)","(0, 0, 0, 0)",33416.93828299841,33440.896524795746,33425.56336896374,-16704.469141499205,2954,True,,0.28
3,2,2,0,0,0,0,"(3, 2, 2)","(0, 0, 0, 0)",33432.9303894607,33468.86571791359,33445.867509172596,-16710.46519473035,2954,False,,5.12
2,2,1,0,0,0,0,"(2, 2, 1)","(0, 0, 0, 0)",33440.130873374044,33464.08911517138,33448.755959339374,-16716.065436687022,2954,True,,2.16
2,1,0,0,0,0,0,"(2, 1, 0)","(0, 0, 0, 0)",33441.27313390225,33459.24283202708,33447.7422028972,-16717.636566951125,2954,True,,0.09
1,2,1,0,0,0,0,"(1, 2, 1)","(0, 0, 0, 0)",33461.48116426557,33479.44984561357,33467.94997873956,-16727.740582132785,2954,True,,1.77
1,1,0,0,0,0,0,"(1, 1, 0)","(0, 0, 0, 0)",33473.749454124874,33485.729930496316,33478.062336404124,-16734.874727062437,2954,True,,0.13
0,0,1,0,0,0,0,"(0, 0, 1)","(0, 0, 0, 0)",33669.71168488111,33687.68239943827,33676.18100829999,-16831.855842440556,2954,True,,0.88
0,2,1,0,0,0,0,"(0, 2, 1)","(0, 0, 0, 0)",33891.35450645328,33903.333627351945,33895.66704943594,-16943.67725322664,2954,True,,1.32
0,1,0,0,0,0,0,"(0, 1, 0)","(0, 0, 0, 0)",33903.56273247466,33909.55297066038,33905.719173614285,-16950.78136623733,2954,True,,0.06
6,2,0,0,0,0,0,"(6, 2, 0)","(0, 0, 0, 0)",33959.09098972174,34001.0084149009,33974.18251236498,-16972.54549486087,2954,True,,1.04
5,2,0,0,0,0,0,"(5, 2, 0)","(0, 0, 0, 0)",34094.67506773411,34130.606325630535,34107.611168390686,-17041.337533867056,2954,True,,0.58
4,2,0,0,0,0,0,"(4, 2, 0)","(0, 0, 0, 0)",34230.651932242254,34260.5963435088,34241.432440810146,-17110.325966121127,2954,True,,0.64
0,0,0,0,0,0,0,"(0, 0, 0)","(0, 0, 0, 0)",34402.95575246126,34414.93690622475,34407.26880429182,-17199.47787623063,2954,True,,0.08
3,2,0,0,0,0,0,"(3, 2, 0)","(0, 0, 0, 0)",34417.60403293841,34441.560918573676,34426.22877941301,-17204.802016469206,2954,True,,0.42
2,2,0,0,0,0,0,"(2, 2, 0)","(0, 0, 0, 0)",34651.63896527975,34669.60764662775,34658.107779753744,-17322.819482639876,2954,True,,0.28
1,2,0,0,0,0,0,"(1, 2, 0)","(0, 0, 0, 0)",35205.75427558549,35217.73407433537,35210.066988248785,-17600.877137792744,2954,True,,0.06
0,2,0,0,0,0,0,"(0, 2, 0)","(0, 0, 0, 0)",36864.280879226615,36870.27077860156,36866.43723555827,-18431.140439613308,2954,True,,0.06
4,1,1,0,0,0,0,"(4, 1, 1)","(0, 0, 0, 0)",213446.0176439588,213481.9529724117,213458.95476367068,-106717.0088219794,2954,False,,2.46
6,1,1,0,0,0,0,"(6, 1, 1)","(0, 0, 0, 0)",,,,,2954,False,,2.79
